Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
72,Sulawesi Tengah,Daging Sapi Murni,2021,Januari,"Rp122,884"
73,Sulawesi Selatan,Daging Sapi Murni,2021,Januari,"Rp114,745"
74,Sulawesi Tenggara,Daging Sapi Murni,2021,Januari,"Rp120,476"
75,Gorontalo,Daging Sapi Murni,2021,Januari,"Rp120,000"
76,Sulawesi Barat,Daging Sapi Murni,2021,Januari,"Rp119,191"
81,Maluku,Daging Sapi Murni,2021,Januari,"Rp100,000"
82,Maluku Utara,Daging Sapi Murni,2021,Januari,"Rp114,247"
91,Papua Barat,Daging Sapi Murni,2021,Januari,"Rp128,211"
94,Papua,Daging Sapi Murni,2021,Januari,"Rp135,022"
11,Aceh,Daging Ayam Ras,2021,Januari,"Rp31,751"
12,Sumatera Utara,Daging Ayam Ras,2021,Januari,"Rp35,813"
13,Sumatera Barat,Daging Ayam Ras,2021,Januari,"Rp30,398"
14,Riau,Daging Ayam Ras,2021,Januari,"Rp32,632"
15,Jambi,Daging Ayam Ras,2021,Januari,"Rp36,181"
16,Sumatera Selatan,Daging Ayam Ras,2021,Januari,"Rp32,168"
17,Bengkulu,Daging Ayam Ras,2021,Januari,"Rp38,332"
18,Lampung,Daging Ayam Ras,2021,Januari,"Rp34,210"
19,Kepulauan Bangka Belitung,Daging Ayam Ras,2021,Januari,"Rp38,288"
21,Kepulauan Riau,Daging Ayam Ras,2021,Januari,"Rp39,645"
31,DKI Jakarta,Daging Ayam Ras,2021,Januari,"Rp34,487"
32,Jawa Barat,Daging Ayam Ras,2021,Januari,"Rp35,402"
33,Jawa Tengah,Daging Ayam Ras,2021,Januari,"Rp33,149"
34,DI Yogyakarta,Daging Ayam Ras,2021,Januari,"Rp33,355"
35,Jawa Timur,Daging Ayam Ras,2021,Januari,"Rp33,185"
36,Banten,Daging Ayam Ras,2021,Januari,"Rp33,610"
51,Bali,Daging Ayam Ras,2021,Januari,"Rp39,503"
52,Nusa Tenggara Barat,Daging Ayam Ras,2021,Januari,"Rp45,292"
53,Nusa Tenggara Timur,Daging Ayam Ras,2021,Januari,"Rp41,375"
61,Kalimantan Barat,Daging Ayam Ras,2021,Januari,"Rp42,126"
62,Kalimantan Tengah,Daging Ayam Ras,2021,Januari,"Rp38,138"
63,Kalimantan Selatan,Daging Ayam Ras,2021,Januari,"Rp32,133"
64,Kalimantan Timur,Daging Ayam Ras,2021,Januari,"Rp31,842"
65,Kalimantan Utara,Daging Ayam Ras,2021,Januari,"Rp42,217"
71,Sulawesi Utara,Daging Ayam Ras,2021,Januari,"Rp34,508"
72,Sulawesi Tengah,Daging Ayam Ras,2021,Januari,"Rp34,536"
73,Sulawesi Selatan,Daging Ayam Ras,2021,Januari,"Rp26,578"
74,Sulawesi Tenggara,Daging Ayam Ras,2021,Januari,"Rp33,695"
75,Gorontalo,Daging Ayam Ras,2021,Januari,"Rp30,378"
76,Sulawesi Barat,Daging Ayam Ras,2021,Januari,"Rp30,988"
81,Maluku,Daging Ayam Ras,2021,Januari,"Rp37,304"
82,Maluku Utara,Daging Ayam Ras,2021,Januari,"Rp43,246"
91,Papua Barat,Daging Ayam Ras,2021,Januari,"Rp45,006"
94,Papua,Daging Ayam Ras,2021,Januari,"Rp34,016"
11,Aceh,Telur Ayam Ras,2021,Januari,"Rp24,676"
12,Sumatera Utara,Telur Ayam Ras,2021,Januari,"Rp26,881"
13,Sumatera Barat,Telur Ayam Ras,2021,Januari,"Rp25,075"
14,Riau,Telur Ayam Ras,2021,Januari,"Rp25,225"
15,Jambi,Telur Ayam Ras,2021,Januari,"Rp25,754"
16,Sumatera Selatan,Telur Ayam Ras,2021,Januari,"Rp23,260"
17,Bengkulu,Telur Ayam Ras,2021,Januari,"Rp23,728"
18,Lampung,Telur Ayam Ras,2021,Januari,"Rp24,279"
19,Kepulauan Bangka Belitung,Telur Ayam Ras,2021,Januari,"Rp27,281"
21,Kepulauan Riau,Telur Ayam Ras,2021,Januari,"Rp25,409"
31,DKI Jakarta,Telur Ayam Ras,2021,Januari,"Rp25,391"
32,Jawa Barat,Telur Ayam Ras,2021,Januari,"Rp24,152"
33,Jawa Tengah,Telur Ayam Ras,2021,Januari,"Rp22,583"
34,DI Yogyakarta,Telur Ayam Ras,2021,Januari,"Rp22,405"
35,Jawa Timur,Telur Ayam Ras,2021,Januari,"Rp22,515"
36,Banten,Telur Ayam Ras,2021,Januari,"Rp24,190"
51,Bali,Telur Ayam Ras,2021,Januari,"Rp23,923"
52,Nusa Tenggara Barat,Telur Ayam Ras,2021,Januari,"Rp26,963"
